序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,872925,锦好医疗,20.03,23.11,3.76,16384.0,30312636.64,23.11,20.03,16.27,16.27,16.27,11.71,5.92,22.0,2.65,986978250.0,554189139.0,0.25,2.19,33.18,38.14
2,872808,曙光数创,168.0,23.07,31.49,36177.0,558424938.96,28.01,174.74,136.51,138.0,136.51,0.92,14.04,54.11,20.69,13376160000.0,4328354016.0,0.12,1.2,442.46,504.97
3,688108,赛诺医疗,9.17,20.03,1.53,651306.0,570696756.0,19.24,9.17,7.7,7.72,7.64,3.3,15.89,-57.99,4.51,3759700000.0,3759700000.0,0.0,0.0,45.32,60.6
4,300654,世纪天鸿,17.03,20.01,2.84,609039.0,951305850.94,21.63,17.03,13.96,13.97,14.19,0.83,19.07,195.84,7.94,6134009917.0,5438896458.0,0.0,0.0,175.12,188.16
5,301270,汉仪股份,53.93,20.0,8.99,75968.0,373405428.64,19.85,53.93,45.01,45.01,44.94,3.38,37.86,199.87,4.91,5393000000.0,1082128208.0,0.0,0.0,34.42,78.58
6,688081,兴图新科,25.62,20.0,4.27,38073.0,92958304.0,20.75,25.62,21.19,21.19,21.35,2.8,5.17,7909.1,3.16,1885632000.0,1885632000.0,0.0,0.0,17.31,54.71
7,300024,机器人,13.38,20.0,2.23,1622134.0,2096713113.03,19.91,13.38,11.16,11.16,11.15,6.04,10.75,-116.55,4.92,20741835891.0,20191456335.0,0.0,0.0,27.55,49.0
8,300788,中信出版,39.25,19.99,6.54,134257.0,499604506.08,16.66,39.25,33.8,34.0,32.71,1.09,7.06,44.39,3.55,7463446964.0,7463446964.0,0.0,0.0,76.17,93.83
9,873593,鼎智科技,75.0,17.19,11.0,32282.0,224289741.67,18.41,75.0,63.22,66.0,64.0,1.35,17.97,23.05,5.59,3471467925.0,1347394575.0,0.68,1.9,-62.4,-62.4
10,300987,川网传媒,28.55,17.1,4.17,299404.0,779857912.71,20.67,28.6,23.56,23.81,24.38,1.74,31.39,197.7,6.09,4949656400.0,2722756400.0,0.0,0.56,67.74,91.1
11,300315,掌趣科技,7.19,16.72,1.03,8979365.0,6040340665.39,13.47,7.25,6.42,6.71,6.16,2.92,34.45,62.63,4.3,19826311340.0,18740852607.0,-0.14,0.14,102.54,123.99
12,300213,佳讯飞鸿,7.55,16.51,1.07,988669.0,740602398.93,18.21,7.75,6.57,6.6,6.48,2.4,17.95,-169.83,2.01,4482575158.0,4157923618.0,0.13,0.0,18.71,55.67
13,832662,方盛股份,9.75,16.07,1.35,63844.0,59902682.81,19.29,10.2,8.58,8.58,8.4,1.59,31.93,13.21,2.05,853612520.0,194938448.0,0.1,0.41,19.63,44.23
