",",日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
0,2023/3/31,-0.0066,0.01,0.01,--,4.5643,4.4654,1.1399,3.2304,-0.0308,--,-0.0926,58.0428,-0.1016,-1.5165,-2.9879,41.8114,-0.987,-0.6629,-0.1452,-0.0926,--,55.3362,-132.3222,-3933.8512,-2.8494,--,39382078.13,0.24,0.24,372223.58,129.76,--,19.7532,35.5712,31.9403,2.8178,--,--,--,0.1029,874.6356,0.1287,699.3007,0.1475,2.3042,2.3042,211.4042,151.5243,--,63.7684,--,--,56.8174,--,--,--,28.8167,55.5511,--,--,36.2316,723060791.6,1.6971,0.1593,--,0.4395,44.956,--,--,--,10490308.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,2022/12/31,0.5063,0.5,0.5,0.36,4.541,4.4312,0.7512,3.2052,-0.0414,--,8.589,49.1852,9.1465,19.029,16.01,50.6589,14.6839,72.0215,15.8603,12.2179,--,32.4459,6.9078,310.4411,0.0373,--,171318364.5,11.26,12.25,35942287.73,91.7591,--,15.3452,13.8847,154.6249,2.3282,--,--,19.5335,0.6229,577.9419,0.8068,446.2072,0.8134,3.5879,3.5879,340.2143,-531.4818,--,77.0345,--,2756.1306,29.812,--,--,43.5094,28.6892,28.1842,--,2.795,22.9655,595484129.4,0.2179,0.1274,1.4837,0.5549,58.6924,--,--,--,10532554.66,--,--,--,830009,79360,905655,--,348135.74,1716075,--,--,1907605.58,1668493.04,1092900.8
2,2022/9/30,-0.1798,-0.13,-0.13,--,3.8662,3.7408,0.4045,3.2146,-0.7174,--,-3.0233,42.5641,-3.2198,-13.729,-15.473,57.2249,-12.9161,-17.9766,-4.6497,-3.0233,--,55.5382,-10.7299,-274.4263,-0.106,--,59337923.68,-3.38,-3.42,-18577505.48,45.6571,--,-6.794,10.5987,71.1629,3.7941,--,--,--,0.2493,1083.0325,0.3305,816.944,0.3552,2.2244,2.2244,189.5905,526.1129,--,65.021,--,--,53.7964,--,--,--,39.1286,51.5496,--,--,34.979,595581072.5,0.2906,0.068,--,0.1945,20.2964,--,--,--,10698513.95,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,2022/6/30,-0.1918,-0.15,-0.15,-0.18,3.8285,3.725,0.0371,3.2071,-0.739,--,-3.5487,38.023,-3.61,-19.4858,-23.3865,61.7477,-20.1415,1.1635,0.3039,0.2153,--,58.4105,-12.484,-162.0862,-0.0993,--,36260465.93,-4.01,-3.93,-17538284.06,45.8277,--,-7.6403,8.2775,30.9882,5.8087,--,--,5.2222,0.1792,1004.4643,0.2448,735.2941,0.2442,2.5491,2.5491,212.2841,732.5676,--,70.8483,--,2190.8424,41.1466,--,--,46.2118,42.1744,38.8269,--,3.2338,29.1517,541262417.9,0.0389,0.0069,--,0.0235,2.4934,--,--,--,10748878.69,--,--,--,96160,844193,61462,--,315761.83,5361921.22,--,--,2236596.03,36670.69,1186372.45
4,2022/3/31,-0.172,-0.17,-0.17,--,3.844,3.6947,-0.0844,3.1661,-0.719,--,-3.2299,41.5901,-3.2619,-42.2893,-66.514,58.0612,-58.3347,-17.1985,-4.4741,-3.2299,--,99.0739,-2.9553,-62.4489,-0.1108,--,12281920.97,-4.72,-4.63,-18310329.55,11.5263,--,-8.2951,5.14,8.832,10.1902,--,--,--,0.0559,1610.0179,0.0763,1179.5544,0.0755,2.6834,2.6834,217.0111,1700.6025,--,72.1915,--,--,38.5205,--,--,--,41.3077,36.2276,--,--,27.8085,533343765.8,-0.2862,-0.0158,--,-0.057,-6.0597,--,--,--,9714250.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,2021/12/31,-0.593,-0.58,-0.58,-0.53,3.9705,3.8334,-0.1427,3.1288,-0.5448,--,-11.3599,56.226,-11.277,-31.739,-36.12,43.2251,-32.7012,-40.1094,-10.1019,-7.6834,--,74.3181,2.1175,-150.0108,-0.0027,--,102129350.6,-15.01,-14.1,-53530941.43,92.5115,--,-8.6735,-1.4484,96.7088,3.7225,--,--,9.2196,0.3448,1044.0835,0.415,867.4699,0.436,3.3488,3.3488,249.6522,1570.2031,--,76.0591,--,2091.0365,31.4768,--,--,49.7329,31.0105,30.0008,--,3.6374,23.9409,522883374.1,-0.0787,-0.0273,--,-0.1142,-11.9789,--,--,--,9492366.95,--,--,--,96160,844193,93662,--,2856941.96,3712456.77,--,--,2798505.15,57284,1371935.23
6,2021/9/30,-0.4201,-0.41,-0.41,--,4.148,3.9847,-0.2507,3.0892,-0.3575,--,-7.814,55.19,-7.872,-40.2867,-53.4906,44.2483,-43.9649,-42.0098,-10.1277,-7.814,--,89.8889,-3.8199,-101.7031,-0.0038,--,52822296.9,-10.28,-9.77,-39413342.03,51.7245,--,-8.1196,0.4861,55.5773,4.8581,--,--,--,0.1791,1507.5377,0.2162,1248.8437,0.2249,3.3939,3.3939,245.0592,1188.6729,--,77.1543,--,--,29.6104,--,--,--,31.0927,29.0282,--,--,22.8457,538506316.5,-0.2624,-0.0466,--,-0.2041,-20.8226,--,--,--,9165592.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,2021/6/30,-0.2453,-0.23,-0.23,-0.22,4.1452,4.139,-0.2217,3.0678,-0.1798,--,-4.9143,58.249,-4.768,-35.8437,-44.3865,41.3048,-37.565,-5.1413,-1.2403,-1.0302,--,82.5238,-1.7334,-130.7655,-0.0064,--,38092174.73,-5.6,-5.45,-21578464.74,256.0048,--,-7.7223,-9.0693,60.0444,2.9978,6.1492,29.2721,3.226,0.1269,1418.4397,0.1434,1255.2301,0.1538,5.3241,5.3241,305.8104,1051.979,--,83.0587,--,2059.6893,20.3967,--,--,50.9377,15.3393,19.7323,--,4.0326,16.9413,499884555.9,-0.3395,-0.0444,--,-0.2622,-27.1002,--,--,--,8457972.05,--,--,--,860993,38329,--,--,10346254.6,--,--,--,108264,428202.56,1085833.28
8,2021/3/31,-0.1894,-0.18,-0.18,--,4.1917,4.1772,-0.1637,3.0496,-0.1323,--,-3.7401,49.8395,-3.6561,-46.3077,-75.3123,49.871,-71.6505,-18.9411,-4.5187,-3.7401,--,113.2254,-2.3891,-65.8729,-0.0083,--,13196909.42,-4.41,-4.32,-18943376.99,118.71,--,-13.3746,-21.5235,17.6977,5.0854,--,--,--,0.051,1764.7059,0.0569,1581.7223,0.0619,5.5509,5.5509,431.8078,1358.0827,--,82.7679,--,--,20.8198,--,--,--,12.6009,19.4958,--,--,17.2321,507270104.9,-0.6191,-0.0323,--,-0.1875,-20.0279,--,--,--,457970.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,2020/12/31,-0.6592,-0.65,-0.65,-0.63,4.3476,4.3337,-0.1237,3.0276,0.052,--,-12.4447,36.1704,-11.09,-51.5345,-87.272,62.7583,-69.9794,-47.5764,-10.9432,-8.9818,--,104.3446,-1.8687,-41.7346,-0.0024,--,34127999.9,-14.89,-13.13,-62633182.92,-77.8397,-200.1471,-28.019,-19.6344,73.5219,4.8965,11.2201,32.0852,4.6743,0.1585,2271.2934,0.175,2057.1429,0.1814,5.377,5.3561,325.0386,730.1489,0,82.0763,0,2136.3275,21.8379,12.5539,0,52.5939,12.5539,20.3245,595.9861,3.8419,17.9237,530568359.4,-0.1313,-0.0233,--,-0.1303,-13.9955,--,--,--,457968.84,0,--,--,908993,133729,55333,--,5214658.63,--,--,--,164655.92,448582.56,1111863.5
