,序号,代码,名称,今日收盘价,今日涨跌幅,今日持股-股数,今日持股-市值,今日持股-占流通股比,今日持股-占总股本比,5日增持估计-股数,5日增持估计-市值,wd;f;wr ,5日增持估计-占流通股比,5日增持估计-占总股本比,所属板块,日期
0,1,2236,大华股份,23.47,8.81,8589.76,201601.62,4.39,2.58,2454.41,55479.27,36.24,11.36,6.69,计算机设备,2023/4/28
1,2,688063,派能科技,242.17,-4.07,859.59,208165.7,10.27,4.89,196.24,45987.51,27.88,22.08,10.53,电池,2023/4/28
2,3,2460,赣锋锂业,64.99,-1.05,10847.33,704967.88,8.98,5.38,662.57,44114.9,6.49,5.47,3.28,能源金属,2023/4/28
3,4,603993,洛阳钼业,5.96,1.19,96757.71,576675.93,5.51,4.48,6884.03,41994.96,7.09,3.63,2.95,小金属,2023/4/28
4,5,2352,顺丰控股,56.45,-1.48,24864.73,1403613.88,5.14,5.08,691.49,40526.5,3.07,1.53,1.51,物流行业,2023/4/28
5,6,300769,德方纳米,163.67,-4.57,776.97,127166.93,5.02,4.47,200.66,38177.34,32.25,12.01,10.7,化学制品,2023/4/28
6,7,938,紫光股份,29.63,6.54,9686.82,287020.61,3.39,3.39,1238,35284.83,12.85,3.8,3.8,互联网服务,2023/4/28
7,8,600690,海尔智家,23.7,5.57,68407.48,1621257.34,10.84,7.24,1467.98,33934.64,2.2,2.33,1.56,家电行业,2023/4/28
8,9,300759,康龙化成,48.96,7.96,3542.3,173431.25,3.75,2.97,706.41,33346.8,23.07,6.92,5.49,医疗服务,2023/4/28
9,10,300760,迈瑞医疗,311.9,0.94,15560.58,4853345,12.83,12.83,104.74,32506.49,0.7,0.89,0.89,医疗器械,2023/4/28
10,11,625,长安汽车,11.91,6.43,16281.25,193909.67,2.13,1.64,2502.37,29623.73,19.09,3.44,2.65,汽车整车,2023/4/28
11,12,601615,明阳智能,20.66,-2.73,28576.8,590396.76,13.55,12.58,1379.89,28595.65,5.01,6.46,5.99,风电设备,2023/4/28
12,13,688390,固德威,259.61,-10.64,732.92,190272.12,9.08,5.95,113.28,28368.86,16.8,12.9,8.45,光伏设备,2023/4/28
13,14,2180,纳思达,39.58,0,5428.04,214841.72,4.25,3.83,707.16,28291.26,14.66,5.42,4.89,计算机设备,2023/4/28
14,15,300450,先导智能,38.25,1.22,33078.08,1265236.4,22.75,21.12,742.77,27664.51,2.36,5.25,4.88,电池,2023/4/28
15,16,600009,上海机场,53.7,1.55,17905.63,961532.58,9.29,7.2,515.79,27109.69,2.9,2.62,2.03,航空机场,2023/4/28
16,17,600028,中国石化,6.71,1.82,152262.64,1021682.33,1.6,1.27,4014.01,26360.35,2.84,0.44,0.35,石油行业,2023/4/28
17,18,538,云南白药,58.19,1.04,8872.25,516276.41,5.27,4.94,438.67,25757.27,5.56,2.78,2.61,中药,2023/4/28
18,19,688008,澜起科技,60.9,-3.39,6962.91,424040.94,6.13,6.13,360.16,24286.97,5.1,2.97,2.97,半导体,2023/4/28
19,20,32,深桑达A,31.6,2.93,1613.55,50988.04,2.5,1.42,717.55,24078.86,75.4,10.48,5.94,通信设备,2023/4/28
20,21,603806,福斯特,49.13,-0.75,6519.98,320326.66,4.9,4.9,471.87,23051.18,7.56,3.43,3.43,光伏设备,2023/4/28
21,22,600166,福田汽车,3.27,1.55,11096.09,36284.23,1.69,1.39,7175.14,22760.72,193.5,11.54,9.48,汽车整车,2023/4/28
22,23,2153,石基信息,19.15,3.91,5122.66,98099.02,4.16,2.44,1139.17,22200.08,27.09,8.77,5.14,软件开发,2023/4/28
23,24,601127,赛力斯,29.52,1.86,1079.22,31858.55,0.72,0.72,752.4,22124.41,218.94,4.78,4.78,汽车整车,2023/4/28
24,25,300146,汤臣倍健,23.88,0.29,11035.65,263531.28,9.77,6.49,946.01,21984.49,10.04,8.97,5.96,食品饮料,2023/4/28
25,26,300763,锦浪科技,113.8,-4.87,1397.42,159026.21,4.66,3.52,184.42,21631.53,14.96,6.05,4.58,光伏设备,2023/4/28
26,27,300866,安克创新,73.22,19.64,1430.39,104733.04,9.46,3.52,299.19,21253.01,29.29,21.91,8.15,消费电子,2023/4/28
27,28,300203,聚光科技,24.1,0.79,1438.61,34670.41,3.18,3.18,900.86,20881.42,157.34,18.71,18.7,环保行业,2023/4/28
28,29,603986,兆易创新,108.47,-3.57,2925.77,317358.22,4.41,4.39,168.02,20824.85,5.97,2.48,2.47,半导体,2023/4/28
29,30,932,华菱钢铁,5.28,0.96,29310.91,154761.63,5.13,4.24,3923.66,20712.38,14.73,6.54,5.41,钢铁行业,2023/4/28
30,31,603799,华友钴业,52,4.59,9182.98,477514.81,5.81,5.74,421.59,20701.25,4.42,2.45,2.42,能源金属,2023/4/28
