,序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
0,1,688728,格科微,-0.05,853204583,-50.8201504,-37.8582,-129193711,-153.5,-10.7865,3.113825548,-1.65,-0.00740468,38.36359913,半导体,2023/5/4
1,2,688565,力源科技,-0.02,42764250.3,3.099918923,436.3312,-3600243.73,-159.08,88.7977,3.674387616,-0.62,-0.230376284,23.83826942,环保行业,2023/5/4
2,3,688249,晶合集成,-0.22,1089766262,-61.33,,-330557046.8,-125.28,,8.508178976,-2.55,-0.2699522,8.023369126,半导体,2023/5/4
3,4,600271,航天信息,0.1326,3505923339,-17.10033017,-41.7874,245693973.2,308.36,-65.8163,7.766028598,1.72,-0.628989566,28.14801899,互联网服务,2023/5/4
4,5,2389,航天彩虹,0.02,509055058,-29.68573063,-70.7497,18648538.04,-46.27,-91.4215,7.936619205,0.24,-0.294344275,24.28900167,电子元件,2023/5/4
5,6,679,大连友谊,-0.025,41510782.53,-2.382888527,17.7558,-8804252.88,8.66,43.2667,1.011512519,-2.41,0.013132012,23.27979441,商业百货,2023/5/4
6,7,2721,金一文化,-0.17,564325707.9,-8.045254792,10.4879,-164457364.3,-32.8,94.8701,-3.452489729,-5.09,0.009004485,11.77188431,珠宝首饰,2023/4/30
7,8,900953,凯马B,-0.0028,741095193.1,-25.84917205,8.5835,-1765618.22,-209.24,97.0013,0.668363598,-0.41,0.030578045,4.359706963,汽车零部件,2023/4/29
8,9,900952,锦港B股,0.01,881536370.2,46.63264155,-14.1958,25642046.95,-43.82,-48.9434,3.340131166,0.38,0.178837898,16.97854068,航运港口,2023/4/29
9,10,900947,振华B股,0.024,6019689227,26.18758507,-46.3125,129537269,747.09,-57.4741,2.806308115,0.85,-0.175318395,14.31753488,通用设备,2023/4/29
10,11,900945,海控B股,0.0037,13147778000,106.3594243,217.8669,158002000,104.3905738,-73.3055,0.053521466,10.19,0.063285687,4.086629695,航空机场,2023/4/29
11,12,900942,黄山B股,0.0885,337916364.5,161.2634687,69.3626,64575642.65,177.5419359,191.0393,5.692706449,1.57,0.180169046,47.74767721,旅游酒店,2023/4/29
12,13,900941,东信B股,0.011,601137278.3,-2.039323613,-45.9246,13489478.19,145.69,-80.1156,2.684872457,0.4,-0.128612,12.26058663,通信设备,2023/4/29
13,14,900938,海科B,0.0068,71174000,106.8530574,39.6226,19818000,-75.64,189.4406,2.458883902,0.28,-0.046698595,-22.25110293,电子元件,2023/4/29
14,15,900936,鄂资B股,0.5,7529356036,-21.27743603,-10.6446,1008394716,-24.89,369.8317,10.71763075,4.82,0.389190472,23.68897324,钢铁行业,2023/4/29
15,16,900934,锦江B股,0.1217,2922258058,25.21880486,0.3075,130254102.7,207.0089807,81.9422,15.61031338,0.78,1.226650659,35.77885673,旅游酒店,2023/4/29
16,17,900929,锦旅B股,-0.0334,63846532.56,55.15494362,-29.8505,-4432692.78,62.42069793,92.8815,5.462025973,-0.62,-0.266398537,18.98867833,旅游酒店,2023/4/29
17,18,900927,物贸B股,0.2822,2053619851,6.79769618,125.1182,139953228.1,1823.87,285.0458,2.32452655,12.9037,0.679430901,4.146167402,贸易行业,2023/4/29
18,19,900924,上工B股,0.0493,850896684.9,17.16524736,-15.6059,35162307.33,-16.11,321.7579,4.584854334,1.0907,-0.191574435,23.83721562,通用设备,2023/4/29
19,20,900923,百联B股,0.12,9486840567,-7.773146148,32.4425,211574472.2,36.14,-75.8079,10.01033812,1.19,1.64447399,25.05039708,商业百货,2023/4/29
20,21,900921,丹科B股,-0.0401,233516090.4,-10.95538052,33.9581,-40813164.81,-2203.728652,83.5988,0.878553562,-1.1171,-0.013806816,-4.466293103,化学制品,2023/4/29
21,22,900920,动力B股,-0.294,2011023520,-50.48900509,1.869,-479680503.5,-2964.63,52.6238,4.585748963,-6.22,-0.62832455,-0.006208375,通用设备,2023/4/29
22,23,900918,耀皮B股,-0.07,1040843616,-4.828389397,-20.3867,-65779884.53,-271.3176822,-375.525,3.672400515,-1.91,-0.18699791,9.092742697,玻璃玻纤,2023/4/29
23,24,900917,海欣B股,0.022,282592919.5,-6.659359015,-27.7605,26525288.95,-2.89,527.9804,3.242288559,0.6877,-0.003171811,49.03931481,化学制药,2023/4/29
24,25,900914,锦在线B,0.03,473878151.9,-7.713950075,-20.6963,14671798.73,-97.4,196.2751,7.077096933,0.38,-0.350822249,18.69209553,物流行业,2023/4/29
25,26,900911,金桥B股,1.2224,4276929233,67.76384946,172.2152,1372025799,51.34,163.4152,12.75343288,10.32,-0.984957823,77.90579148,房地产开发,2023/4/29
26,27,900908,氯碱B股,0.1628,1651191099,-16.40354711,18.9233,188276150.6,-61.23,-18.4137,6.897314822,2.39,-0.04328398,17.49653992,化学制品,2023/4/29
27,28,900904,神奇B股,0.04,582797540.4,-0.925973003,-13.7618,23790846.61,1.39,441.4045,4.406202882,1.02,0.043970798,53.69031403,化学制药,2023/4/29
28,29,900903,大众B股,0.04,773220302.4,51.82896803,-10.7056,99134918.85,138.1019405,7.9985,3.997536711,1.01,0.030755798,22.49885983,房地产开发,2023/4/29
29,30,688819,天能股份,0.64,10751670560,26.21738533,-9.1956,617611301.7,40.98,27.7939,14.70750385,4.42,0.192073442,19.14961337,电池,2023/4/29
30,31,688799,华纳药厂,0.53,357267198,22.36381062,-2.2979,49262935.42,44.5,-16.0239,17.54662065,3.04,0.707568397,61.59981921,化学制药,2023/4/29
31,32,688789,宏华数科,0.79,282950397.3,2.588019778,43.3564,64117094.14,-12.16,13.2872,32.97347137,2.7,0.800010224,47.55702541,专用设备,2023/4/29
32,33,688788,科思科技,-0.5096,11405040.34,-57.64667234,-79.0402,-53889041.62,-106.28,57.3401,24.85563912,-2.03,-0.483640756,53.21508376,通信设备,2023/4/29
33,34,688767,博拓生物,0.11,103685805.9,-89.80742325,-28.235,11899389.65,-97.58,110.7074,24.12933765,0.46,-0.18807683,42.90679135,医疗器械,2023/4/29
34,35,688707,振华新材,0.1595,2006164566,-22.21394752,-50.2382,70641478.89,-79.37,-73.4545,9.390860575,1.71,-1.755669273,9.962387123,电池,2023/4/29
35,36,688701,卓锦股份,-0.09,65879271.52,-6.753511071,-2.0225,-11821539.27,-426.760138,81.5076,2.906181485,-2.98,-0.360016621,14.78052769,环保行业,2023/4/29
