,序号,代码,名称,今日收盘价,今日涨跌幅,今日持股-股数,今日持股-市值,今日持股-占流通股比,今日持股-占总股本比,今日增持估计-股数,今日增持估计-市值,今日增持估计-市值增幅,今日增持估计-占流通股比,今日增持估计-占总股本比,所属板块,日期
0,1,600887,伊利股份,29.56,6.33,102717.52,3036330.04,16.28,16.05,1295.26,38071.91,1.28,2.17,2.14,食品饮料,2023/4/28
1,2,625,长安汽车,11.91,6.43,16281.25,193909.67,2.13,1.64,2398.91,28398.32,17.28,3.32,2.56,汽车整车,2023/4/28
2,3,300760,迈瑞医疗,311.9,0.94,15560.58,4853345,12.83,12.83,84.04,26094.33,0.54,0.7,0.7,医疗器械,2023/4/28
3,4,600690,海尔智家,23.7,5.57,68407.48,1621257.34,10.84,7.24,923.8,21734.69,1.37,1.53,1.02,家电行业,2023/4/28
4,5,300866,安克创新,73.22,19.64,1430.39,104733.04,9.46,3.52,283.82,20240.59,24.75,21.87,8.14,消费电子,2023/4/28
5,6,600036,招商银行,33.6,2.97,151279.36,5082986.55,7.33,6,593.58,19803.23,0.39,0.29,0.24,银行,2023/4/28
6,7,2507,涪陵榨菜,25.79,7.06,7329.66,189031.99,8.35,8.26,695.3,17842.49,10.48,8.44,8.34,食品饮料,2023/4/28
7,8,601881,中国银河,10.78,9,6775.54,73040.36,1.05,0.67,1602.9,17047.03,30.99,2.67,1.7,证券,2023/4/28
8,9,601669,中国电建,7.69,2.12,33546.65,257973.71,3.05,1.95,2183.31,16634.2,6.96,2.01,1.28,工程建设,2023/4/28
9,10,300130,新国都,17.88,17.02,1872.64,33482.78,5.03,3.7,878.2,15383.6,88.31,27.02,19.87,计算机设备,2023/4/28
10,11,600415,小商品城,9.68,10,9137.71,88453.07,1.67,1.67,1676.58,15313.75,22.47,3.19,3.17,商业百货,2023/4/28
11,12,688002,睿创微纳,51.71,7.68,1118.95,57860.79,2.5,2.5,284.69,14727.23,34.13,6.86,6.86,半导体,2023/4/28
12,13,300418,昆仑万维,65.16,20,1308.25,85245.67,1.2,1.09,228.24,14013.7,21.13,2.37,2.16,互联网服务,2023/4/28
13,14,600919,江苏银行,7.71,1.72,69284.26,534181.66,4.72,4.69,1793.3,13982.56,2.66,1.26,1.25,银行,2023/4/28
14,15,300759,康龙化成,48.96,7.96,3542.3,173431.25,3.75,2.97,283.8,13828.86,8.71,3.22,2.56,医疗服务,2023/4/28
15,16,601108,财通证券,7.75,4.45,9113.77,70631.74,1.96,1.96,1757.74,13555.19,23.9,3.93,3.93,证券,2023/4/28
16,17,2709,天赐材料,42.68,-0.63,11696.34,499199.65,8.45,6.07,312.29,13313.23,2.74,2.24,1.61,化学制品,2023/4/28
17,18,603993,洛阳钼业,5.96,1.19,96757.71,576675.93,5.51,4.48,2165.42,12946.19,2.29,1.25,1.02,小金属,2023/4/28
18,19,601888,中国中免,160.98,-0.38,22307.21,3591014.34,11.43,10.78,78.03,12556.24,0.35,0.4,0.38,旅游酒店,2023/4/28
19,20,2142,宁波银行,27.38,4.58,39580.2,1083705.99,6.07,5.99,457.08,12420.46,1.17,0.73,0.72,银行,2023/4/28
20,21,300773,拉卡拉,16.95,15.15,1486.58,25197.53,1.96,1.86,729.64,11945.7,96.39,10.71,10.14,软件开发,2023/4/28
21,22,2131,利欧股份,2.25,5.14,21126.37,47534.33,3.62,3.13,5369.52,11913.9,34.08,9.54,8.24,互联网服务,2023/4/28
22,23,2352,顺丰控股,56.45,-1.48,24864.73,1403613.88,5.14,5.08,205.99,11682.95,0.84,0.42,0.42,物流行业,2023/4/28
23,24,300450,先导智能,38.25,1.22,33078.08,1265236.4,22.75,21.12,298.14,11333.61,0.91,2.06,1.91,电池,2023/4/28
24,25,601100,恒立液压,61.55,-0.11,16773.21,1032390.97,12.85,12.51,178.76,11053.48,1.08,1.37,1.34,工程机械,2023/4/28
25,26,2027,分众传媒,6.44,3.54,280894.36,1808959.69,19.45,19.45,1685.43,10790.11,0.6,1.2,1.2,文化传媒,2023/4/28
26,27,2837,英维克,39.75,-2.5,1030.92,40978.93,2.92,2.37,277.3,10770.43,36.8,7.48,6.08,专用设备,2023/4/28
27,28,688556,高测股份,70.41,1.73,746.74,52578,4.4,3.28,148.56,10687.56,24.84,9.09,6.77,光伏设备,2023/4/28
28,29,601658,邮储银行,5.51,0.18,78796.78,434170.26,6.99,0.79,1872.47,10272.95,2.43,1.66,0.19,银行,2023/4/28
29,30,2439,启明星辰,31.06,-3.03,15734.62,488717.31,21.72,16.52,321.74,10066.05,2.09,4.34,3.3,软件开发,2023/4/28
30,31,2276,万马股份,10.77,10.01,1923.64,20717.62,1.86,1.86,937.85,9984.21,95.14,9.85,9.85,电网设备,2023/4/28
31,32,2195,二三四五,3.08,4.76,10987.84,33842.56,1.94,1.92,3281.88,9973.96,42.59,6,5.93,互联网服务,2023/4/28
32,33,600028,中国石化,6.71,1.82,152262.64,1021682.33,1.6,1.27,1506.3,9952.86,1,0.16,0.13,石油行业,2023/4/28
33,34,2558,巨人网络,15.84,10,4897.16,77571.07,2.44,2.44,632.4,9821.83,14.83,3.4,3.4,游戏,2023/4/28
