序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688081,兴图新科,25.62,20.0,4.27,36379.0,88620275.0,20.75,25.62,21.19,21.19,21.35,5.73,4.94,7909.1,3.16,1885632000.0,1885632000.0,0.0,0.0,17.31,54.71
2,300024,机器人,13.38,20.0,2.23,1204287.0,1537658897.99,19.91,13.38,11.16,11.16,11.15,9.43,7.98,-116.55,4.92,20741835891.0,20191456335.0,0.0,0.0,27.55,49.0
3,300788,中信出版,39.25,19.99,6.54,130065.0,483152829.33,16.66,39.25,33.8,34.0,32.71,2.24,6.84,44.39,3.55,7463446964.0,7463446964.0,0.0,0.0,76.17,93.83
4,872808,曙光数创,160.38,17.49,23.87,23189.0,344261620.15,19.31,162.87,136.51,138.0,136.51,1.24,9.0,51.66,19.76,12769455600.0,4132032245.0,0.53,0.21,417.86,477.53
5,688108,赛诺医疗,8.87,16.1,1.23,396670.0,338119686.0,17.41,9.03,7.7,7.72,7.64,4.23,9.67,-56.09,4.36,3636700000.0,3636700000.0,0.11,0.0,40.57,55.34
6,300840,酷特智能,13.81,15.08,1.81,204565.0,277674972.52,14.67,14.35,12.59,12.6,12.0,4.72,13.26,28.4,2.99,3314400000.0,2131069615.0,0.22,0.15,28.58,54.65
7,300600,国瑞科技,14.01,13.63,1.68,373536.0,500971120.56,19.3,14.38,12.0,12.01,12.33,2.41,15.27,-177.31,4.8,4122225065.0,3428040507.0,1.23,0.29,67.78,89.84
8,300213,佳讯飞鸿,7.33,13.12,0.85,708438.0,529375293.5,18.21,7.75,6.57,6.6,6.48,3.62,12.86,-164.88,1.95,4351957074.0,4036765579.0,-0.14,-0.14,15.25,51.13
9,832662,方盛股份,9.48,12.86,1.08,34045.0,30732296.73,10.95,9.5,8.58,8.58,8.4,1.78,17.03,12.84,1.99,829974019.0,189540153.0,-0.21,0.42,16.32,40.24
10,300654,世纪天鸿,16.0,12.76,1.81,485789.0,746324647.12,17.9,16.5,13.96,13.97,14.19,1.4,15.21,184.0,7.46,5763015776.0,5109943824.0,-0.87,-0.93,158.48,170.73
11,872925,锦好医疗,18.28,12.35,2.01,9513.0,17061728.55,18.62,19.3,16.27,16.27,16.27,14.44,3.44,20.08,2.42,900747000.0,505770217.0,0.05,0.05,21.54,26.07
12,832225,利通科技,9.2,11.65,0.96,27627.0,24706771.05,13.96,9.47,8.32,8.4,8.24,6.31,4.79,9.33,1.93,973044854.0,530282066.0,-0.65,-1.18,20.26,56.2
13,300251,光线传媒,11.39,11.45,1.17,1209163.0,1283670288.27,17.12,11.45,9.7,10.0,10.22,2.72,4.34,68.47,3.98,33413800040.0,31746474002.0,-0.18,1.97,39.75,31.52
14,300426,唐德影视,18.0,10.63,1.73,344964.0,571203608.42,19.11,18.05,14.94,15.0,16.27,1.4,8.69,-118.53,70.97,7362082800.0,7144981524.0,0.9,1.64,152.81,160.49
15,301085,亚康股份,50.0,10.57,4.78,68474.0,332027334.36,11.81,51.14,45.8,47.51,45.22,2.34,21.52,47.71,5.0,4000000000.0,1591061150.0,-1.48,-0.6,39.08,79.47
16,300540,蜀道装备,20.92,10.4,1.97,61063.0,125899834.09,14.78,21.69,18.89,18.99,18.95,12.58,5.62,51.88,3.42,3361676494.0,2272161555.0,0.53,0.87,13.63,26.33
17,002131,利欧股份,2.48,10.22,0.23,4267795.0,1047627960.46,4.89,2.48,2.37,2.38,2.25,5.31,7.31,7.02,1.37,16751914428.0,14469697352.0,0.0,0.0,31.91,40.11
18,301128,强瑞技术,41.0,10.22,3.8,47574.0,189302989.09,10.75,42.0,38.0,38.0,37.2,1.54,17.45,858.93,3.68,3029351502.0,1117526709.0,-0.51,0.64,33.68,63.41
19,601326,秦港股份,3.7,10.12,0.34,1016466.0,365183238.0,7.14,3.7,3.46,3.54,3.36,5.37,2.14,12.37,1.16,20673424400.0,17602968300.0,0.0,0.0,31.21,34.55
