,代码,名称,最新价,涨跌幅,股东名称,持股变动信息-增减,持股变动信息-变动数量,持股变动信息-占总股本比例,持股变动信息-占流通股比例,变动后持股情况-持股总数,变动后持股情况-占总股本比例,变动后持股情况-持流通股数,变动后持股情况-占流通股比例,变动开始日,变动截止日,公告日
0,603398,沐邦高科,27.89,1.6,汕头市邦领贸易有限公司,增持,95.6,0.279014513,0.28,8660.861,25.28,,,2023/4/28,2023/4/28,2023/4/29
1,600988,赤峰黄金,16.57,0.24,赤峰吉隆黄金矿业股份有限公司第二期员工持股计划,增持,1657.5406,0.996171204,1,,,,,2023/4/28,2023/4/28,2023/4/29
2,603806,福斯特,49.13,-0.75,杭州福斯特应用材料股份有限公司-第四期员工持股计划,增持,260.682,0.195774046,0.2,,,,,,2023/4/27,2023/4/28
3,603398,沐邦高科,27.89,1.6,汕头市邦领贸易有限公司,增持,169.64,0.495104832,0.5,8565.261,25,,,2022/5/10,2023/4/27,2023/4/28
4,600872,中炬高新,36.75,1.55,"CYPRESS CAMBO,L.P.",增持,615.0004,0.783064977,0.78,615.0004,0.78,,,2023/3/24,2023/4/26,2023/4/28
5,600836,上海易连,5.18,1.57,赵宏光,增持,10,0.014864295,0.02,480,0.71,,,2022/4/27,2023/4/26,2023/4/27
6,600720,祁连山,11.27,2.73,国新投资有限公司,增持,94.08,0.121191779,0.12,3881.4491,5,,,2023/4/26,2023/4/26,2023/4/28
7,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,5.44,0.0272,0.03,,,,,2023/4/25,2023/4/25,2023/4/29
8,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,5,0.025,0.03,,,,,2023/4/25,2023/4/25,2023/4/29
9,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,10.48,0.0524,0.05,,,,,2023/4/25,2023/4/25,2023/4/29
10,600312,平高电气,11.48,3.89,中国电气装备集团有限公司,增持,532.7,0.392579877,0.39,56206.9223,41.42,,,2022/10/29,2023/4/25,2023/4/27
11,836077,吉林碳谷,42.05,-0.33,吉林市国兴新材料产业投资有限公司,增持,110,0.345221113,1.09,16035,50.32,,,2022/4/29,2023/4/24,2023/4/25
12,2074,国轩高科,27.5,-1.61,银河德睿资本管理有限公司,增持,1045.7828,0.587890041,0.84,,,,,2023/3/13,2023/4/21,2023/4/25
13,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,7.89,0.03945,0.04,,,,,2023/4/20,2023/4/20,2023/4/29
14,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,10.32,0.0516,0.05,,,,,2023/4/20,2023/4/20,2023/4/29
15,2358,森源电气,4.66,0.87,河南宏森融源企业管理合伙企业(有限合伙),增持,2191.6215,2.357198229,2.36,14709.4815,15.82,,,2023/4/20,2023/4/20,2023/4/22
16,2358,森源电气,4.66,0.87,河南宏森融源企业管理合伙企业(有限合伙),增持,900,0.967994887,0.97,12517.86,13.46,,,2023/4/19,2023/4/19,2023/4/22
17,601963,重庆银行,7.92,0.13,重庆渝富资本运营集团有限公司,增持,205,0.059000474,0.09,49060.1003,14.12,,,2023/2/7,2023/4/18,2023/4/19
18,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,3.35,0.01675,0.02,,,,,2023/4/17,2023/4/17,2023/4/29
19,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,4.69,0.02345,0.02,,,,,2023/4/14,2023/4/14,2023/4/29
20,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,89.6265,0.4481325,0.45,,,,,2023/4/14,2023/4/14,2023/4/29
21,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他缘友稳健一期私募证券投资基金,增持,2.47,0.01235,0.01,,,,,2023/4/14,2023/4/14,2023/4/29
22,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,1.6,0.008,0.01,,,,,2023/4/14,2023/4/14,2023/4/29
23,601963,重庆银行,7.92,0.13,重庆市水利投资(集团)有限公司,增持,3494.4761,1.005735356,1.54,20867.1827,6.01,6883.3152,3.03,2023/2/11,2023/4/14,2023/4/18
24,300796,贝斯美,11.84,1.63,上海垒土资产管理有限公司,增持,131.596,0.364387643,0.36,1828.3882,5.06,1828.3882,5.06,2023/4/14,2023/4/14,2023/4/18
